Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.121,-0.296,9.932,0.427,0.610,0.183
0.072,-0.216,9.947,0.366,0.610,0.122
0.012,-0.286,9.941,0.122,0.610,0.122
-0.041,-0.284,9.937,0.122,0.610,0.122
-0.035,-0.293,9.940,0.183,0.549,0.122
0.038,-0.267,9.936,0.183,0.549,0.122
0.170,-0.299,9.938,0.183,0.549,0.183
0.178,-0.283,9.928,0.244,0.549,0.183
0.027,-0.286,9.934,0.244,0.610,0.183
-0.050,-0.303,9.949,0.244,0.610,0.183
-0.055,-0.286,9.951,0.244,0.549,0.183
-0.016,-0.281,9.940,0.244,0.549,0.183
0.078,-0.286,9.944,0.244,0.549,0.183
0.183,-0.281,9.943,0.305,0.549,0.183
0.108,-0.277,9.941,0.305,0.610,0.183
-0.017,-0.299,9.935,0.183,0.610,0.244
-0.055,-0.302,9.944,0.244,0.610,0.244
-0.030,-0.296,9.945,0.427,0.549,0.183
0.048,-0.281,9.950,0.427,0.488,0.183
0.145,-0.277,9.951,0.305,0.549,0.244
0.136,-0.245,9.941,0.244,0.610,0.183
0.031,-0.257,9.939,0.061,0.671,0.183
-0.042,-0.302,9.940,0.061,0.671,0.183
-0.041,-0.314,9.951,0.183,0.610,0.183
-0.004,-0.272,9.942,0.305,0.610,0.122
0.089,-0.295,9.942,0.244,0.549,0.183
0.169,-0.305,9.935,0.183,0.549,0.122
0.086,-0.293,9.935,0.305,0.610,0.183
-0.016,-0.283,9.935,0.366,0.549,0.183
-0.022,-0.297,9.950,0.427,0.549,0.122
-0.014,-0.265,9.951,0.366,0.610,0.183
0.015,-0.241,9.943,0.183,0.549,0.244
0.074,-0.266,9.940,0.061,0.610,0.183
0.132,-0.310,9.940,0.000,0.610,0.244
0.078,-0.281,9.928,0.183,0.610,0.183
0.011,-0.304,9.938,0.183,0.610,0.244
-0.008,-0.292,9.940,0.244,0.610,0.183
0.010,-0.270,9.946,0.244,0.610,0.183
0.035,-0.279,9.939,0.244,0.549,0.183
